lucode,LULC_desc,LULC_veg,root_depth,Kc
10,NonIrrigatedArableLand,1,1000,0.65
11,NonIrrigatedArableLandHerbaceous,1,1500,0.575
12,PermanentCropland,1,2250,0.825
20,PermanentlyIrrigatedArableLand,1,1000,0.65
30,ComplexCultivationPatternedLand,1,1833,0.675
40,AgriculturalLandWithNaturalVegetation,1,2667,0.7
50,EvergreenBroadleafForest,1,3500,1
60,DeciduousBroadleafForest,1,3500,1
61,ClosedDeciduousBroadleafForest,1,3500,1
62,OpenDeciduousBroadleafForest,1,3500,1
70,EvergreenConiferousForest,1,3500,1
71,ClosedEvergreenConiferousForest,1,3500,1
72,OpenEvergreenConiferousForest,1,3500,1
80,DeciduousConiferousForest,1,3500,1
81,ClosedDeciduousConiferousForest,1,3500,1
82,OpenDeciduousConiferousForest,1,3500,1
90,MixedForest,1,3500,1
100,ClosedSavanna,1,2750,0.75
110,OpenSavanna,1,2750,0.75
120,Shrubland,1,2000,0.5
121,EvergreenShrubland,1,2000,0.5
122,DeciduousShrubland,1,2000,0.5
130,Grassland,1,2000,0.65
140,LichenMoss,0,2000,0.65
150,SparseVegetation,1,1175,0.365
151,SparseTreeCover,1,1175,0.365
152,SparseShrubCover,1,1175,0.365
153,SparseHerbaceousCover,1,1175,0.365
160,Wetland,0,3500,1
170,Mangrove,0,3500,1
180,InlandMarsh,0,2000,0.5
190,ArtificialSurface,0,0,0.29
200,BareArea,0,500,0.2
201,BareRock,0,500,0.2
202,BeachDuneAndSand,0,500,0.2
210,WaterBody,0,10,1
220,GlacierAndPerpetualSnow,0,0,0.4
